Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
"SHEARY, CONOR",Pittsburgh,42,564:06:00,12,17,6,29,84,106,131,14.29,1.28,1.81,0.64,3.08,8.93,11.27,13.93,32.4,45.9,78.4
"VANEK, THOMAS",Detroit,44,494:14:00,9,15,8,24,65,82,104,13.85,1.09,1.82,0.97,2.91,7.89,9.95,12.63,31,51.7,82.8
"CROSBY, SIDNEY",Pittsburgh,51,748:23:00,18,18,15,36,114,139,176,15.79,1.44,1.44,1.2,2.89,9.14,11.14,14.11,40,40,80
"ZUCKER, JASON",Minnesota,57,776:36:00,14,23,15,37,109,163,192,12.84,1.08,1.78,1.16,2.86,8.42,12.59,14.83,28,46,74
"MALKIN, EVGENI",Pittsburgh,50,700:29:00,14,19,16,33,90,115,144,15.56,1.2,1.63,1.37,2.83,7.71,9.85,12.33,32.6,44.2,76.7
"MCDAVID, CONNOR",Edmonton,58,928:20:00,13,29,22,42,123,166,202,10.57,0.84,1.87,1.42,2.71,7.95,10.73,13.06,26.5,59.2,85.7
"HARTNELL, SCOTT",Columbus,55,577:13:00,11,15,11,26,67,85,108,16.42,1.14,1.56,1.14,2.7,6.96,8.84,11.23,35.5,48.4,83.9
"OSHIE, TJ",Washington,47,608:17:00,16,10,6,26,62,91,108,25.81,1.58,0.99,0.59,2.56,6.12,8.98,10.65,42.1,26.3,68.4
"BACKSTROM, NICKLAS",Washington,56,751:32:00,11,21,13,32,77,103,130,14.29,0.88,1.68,1.04,2.55,6.15,8.22,10.38,26.8,51.2,78
"OVECHKIN, ALEX",Washington,56,765:51:00,13,19,10,32,131,179,241,9.92,1.02,1.49,0.78,2.51,10.26,14.02,18.88,28.3,41.3,69.6
"POMINVILLE, JASON",Minnesota,57,674:08:00,9,19,12,28,105,145,183,8.57,0.8,1.69,1.07,2.49,9.35,12.91,16.29,27.3,57.6,84.8
"KUCHEROV, NIKITA",Tampa Bay,49,704:35:00,13,16,8,29,88,123,164,14.77,1.11,1.36,0.68,2.47,7.49,10.47,13.97,37.1,45.7,82.9
"MARNER, MITCH",Toronto,56,755:07:00,13,18,11,31,96,147,184,13.54,1.03,1.43,0.87,2.46,7.63,11.68,14.62,31.7,43.9,75.6
"VAN_RIEMSDYK, JAMES",Toronto,56,709:07:00,15,14,7,29,116,151,187,12.93,1.27,1.18,0.59,2.45,9.81,12.78,15.82,38.5,35.9,74.4
"KUZNETSOV, EVGENY",Washington,56,763:54:00,10,21,13,31,83,117,149,12.05,0.79,1.65,1.02,2.43,6.52,9.19,11.7,22.2,46.7,68.9
"SAAD, BRANDON",Columbus,57,793:31:00,14,18,10,32,113,165,215,12.39,1.06,1.36,0.76,2.42,8.54,12.48,16.26,35.9,46.2,82.1
"MANTHA, ANTHONY",Detroit,42,571:44:00,10,13,4,23,85,118,133,11.76,1.05,1.36,0.42,2.41,8.92,12.38,13.96,32.3,41.9,74.2
"SCHEIFELE, MARK",Winnipeg,57,871:01:00,12,23,11,35,73,96,125,16.44,0.83,1.58,0.76,2.41,5.03,6.61,8.61,26.7,51.1,77.8
"NIEDERREITER, NINO",Minnesota,57,726:52:00,10,19,15,29,96,123,165,10.42,0.83,1.57,1.24,2.39,7.92,10.15,13.62,25,47.5,72.5
"PASTRNAK, DAVID",Boston,51,728:11:00,16,13,9,29,124,168,216,12.9,1.32,1.07,0.74,2.39,10.22,13.84,17.8,40,32.5,72.5
"BURAKOVSKY, ANDRE",Washington,52,603:17:00,9,15,6,24,71,93,149,12.68,0.9,1.49,0.6,2.39,7.06,9.25,14.82,30,50,80
"CARTER, JEFF",Los Angeles,56,707:28:00,14,14,12,28,122,164,212,11.48,1.19,1.19,1.02,2.37,10.35,13.91,17.98,40,40,80
"ATHANASIOU, ANDREAS",Detroit,42,457:33:00,13,5,3,18,72,103,132,18.06,1.7,0.66,0.39,2.36,9.44,13.51,17.31,59.1,22.7,81.8
"CONNOLLY, BRETT",Washington,42,434:02:00,11,6,6,17,53,64,84,20.75,1.52,0.83,0.83,2.35,7.33,8.85,11.61,40.7,22.2,63
"PACIORETTY, MAX",Montreal,58,831:10:00,18,14,6,32,134,191,251,13.43,1.3,1.01,0.43,2.31,9.67,13.79,18.12,47.4,36.8,84.2
"ARVIDSSON, VIKTOR",Nashville,54,707:12:00,11,16,9,27,144,185,225,7.64,0.93,1.36,0.76,2.29,12.22,15.7,19.09,29.7,43.2,73
"KREIDER, CHRIS",NY Rangers,51,707:35:00,15,12,6,27,105,145,176,14.29,1.27,1.02,0.51,2.29,8.9,12.3,14.92,45.5,36.4,81.8
"GRABNER, MICHAEL",NY Rangers,56,657:07:00,19,6,5,25,105,139,173,18.1,1.73,0.55,0.46,2.28,9.59,12.69,15.8,48.7,15.4,64.1
"LAINE, PATRIK",Winnipeg,52,738:44:00,14,14,8,28,80,118,147,17.5,1.14,1.14,0.65,2.27,6.5,9.58,11.94,34.1,34.1,68.3
"BURNS, BRENT",San Jose,58,1062:04:00,17,23,12,40,156,234,356,10.9,0.96,1.3,0.68,2.26,8.81,13.22,20.11,29.3,39.7,69
"WILLIAMS, JUSTIN",Washington,55,692:34:00,14,12,5,26,96,133,161,14.58,1.21,1.04,0.43,2.25,8.32,11.52,13.95,40,34.3,74.3
"MATTHEWS, AUSTON",Toronto,56,799:33:00,21,9,6,30,159,214,255,13.21,1.58,0.68,0.45,2.25,11.93,16.06,19.14,60,25.7,85.7
"LITTLE, BRYAN",Winnipeg,37,483:40:00,10,8,4,18,58,78,94,17.24,1.24,0.99,0.5,2.23,7.2,9.68,11.66,40,32,72
"BYRON, PAUL",Montreal,57,647:53:00,13,11,8,24,58,70,92,22.41,1.2,1.02,0.74,2.22,5.37,6.48,8.52,40.6,34.4,75
"KADRI, NAZEM",Toronto,56,756:35:00,12,16,7,28,129,175,233,9.3,0.95,1.27,0.56,2.22,10.23,13.88,18.48,35.3,47.1,82.4
"COYLE, CHARLIE",Minnesota,57,784:34:00,8,21,16,29,85,115,147,9.41,0.61,1.61,1.22,2.22,6.5,8.79,11.24,22.2,58.3,80.6
"ZETTERBERG, HENRIK",Detroit,57,868:34:00,12,20,15,32,95,124,161,12.63,0.83,1.38,1.04,2.21,6.56,8.57,11.12,26.7,44.4,71.1
"TARASENKO, VLADIMIR",St. Louis,58,814:46:00,15,15,8,30,124,183,246,12.1,1.1,1.1,0.59,2.21,9.13,13.48,18.12,40.5,40.5,81.1
"EHLERS, NIKOLAJ",Winnipeg,60,844:07:00,10,21,12,31,98,146,183,10.2,0.71,1.49,0.85,2.2,6.97,10.38,13.01,23.3,48.8,72.1
"BOZAK, TYLER",Toronto,53,686:56:00,9,16,11,25,75,100,112,12,0.79,1.4,0.96,2.18,6.55,8.73,9.78,23.1,41,64.1
"BARKOV, ALEKSANDER",Florida,41,550:28:00,9,11,8,20,61,81,102,14.75,0.98,1.2,0.87,2.18,6.65,8.83,11.12,33.3,40.7,74.1
"LEE, ANDERS",NY Islanders,55,688:48:00,15,10,6,25,101,127,151,14.85,1.31,0.87,0.52,2.18,8.8,11.06,13.15,42.9,28.6,71.4
"MARCHAND, BRAD",Boston,58,803:14:00,10,19,11,29,117,166,218,8.55,0.75,1.42,0.82,2.17,8.74,12.4,16.28,26.3,50,76.3
"TKACHUK, MATTHEW",Calgary,54,642:21:00,7,16,10,23,82,109,132,8.54,0.65,1.49,0.93,2.15,7.66,10.18,12.33,23.3,53.3,76.7
"ZIBANEJAD, MIKA",NY Rangers,32,422:31:00,7,8,3,15,48,75,89,14.58,0.99,1.14,0.43,2.13,6.82,10.65,12.64,30.4,34.8,65.2
"MILLER, J.T.",NY Rangers,57,734:10:00,10,16,10,26,79,103,128,12.66,0.82,1.31,0.82,2.12,6.46,8.42,10.46,27.8,44.4,72.2
"DANAULT, PHILLIP",Montreal,58,736:20:00,9,17,10,26,84,111,146,10.71,0.73,1.39,0.81,2.12,6.84,9.04,11.9,28.1,53.1,81.2
"STAAL, JORDAN",Carolina,46,626:57:00,7,15,5,22,81,113,134,8.64,0.67,1.44,0.48,2.11,7.75,10.81,12.82,22.6,48.4,71
"FORSBERG, FILIP",Nashville,56,741:09:00,12,14,7,26,112,168,213,10.71,0.97,1.13,0.57,2.1,9.07,13.6,17.24,35.3,41.2,76.5
"COUTURE, LOGAN",San Jose,56,714:07:00,11,14,11,25,94,124,163,11.7,0.92,1.18,0.92,2.1,7.9,10.42,13.7,33.3,42.4,75.8
"KESSEL, PHIL",Pittsburgh,57,772:26:00,12,15,9,27,113,146,189,10.62,0.93,1.17,0.7,2.1,8.78,11.34,14.68,33.3,41.7,75
"KANE, PATRICK",Chicago,57,957:44:00,13,20,11,33,137,176,231,9.49,0.81,1.25,0.69,2.07,8.58,11.03,14.47,31,47.6,78.6
"ANISIMOV, ARTEM",Chicago,53,755:03:00,12,14,10,26,59,85,129,20.34,0.95,1.11,0.79,2.07,4.69,6.75,10.25,33.3,38.9,72.2
