Player Name,Team,GP,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G/60,A/60,FirstA/60,Points/60,Shots/60,iFenwick/60,iCorsi/60,IGP,IAP,IPP
"BURNS, BRENT",San Jose,58,1062:04:00,17,23,12,40,156,234,356,10.9,0.96,1.3,0.68,2.26,8.81,13.22,20.11,29.3,39.7,69
"SKJEI, BRADY",NY Rangers,56,827:05:00,2,18,9,20,66,91,123,3.03,0.15,1.31,0.65,1.45,4.79,6.6,8.92,4.4,40,44.4
"HAMILTON, DOUGIE",Calgary,57,876:31:00,6,15,9,21,122,162,228,4.92,0.41,1.03,0.62,1.44,8.35,11.09,15.61,18.2,45.5,63.6
"KARLSSON, ERIK",Ottawa,55,1058:05:00,7,18,10,25,85,146,230,8.24,0.4,1.02,0.57,1.42,4.82,8.28,13.04,17.5,45,62.5
"MARKOV, ANDREI",Montreal,39,615:33:00,3,11,7,14,44,61,103,6.82,0.29,1.07,0.68,1.36,4.29,5.95,10.04,10.3,37.9,48.3
"NISKANEN, MATT",Washington,55,920:46:00,3,17,8,20,91,120,189,3.3,0.2,1.11,0.52,1.3,5.93,7.82,12.32,7,39.5,46.5
"HEDMAN, VICTOR",Tampa Bay,53,925:46:00,5,15,8,20,66,110,176,7.58,0.32,0.97,0.52,1.3,4.28,7.13,11.41,13.2,39.5,52.6
"POSTMA, PAUL",Winnipeg,54,567:24:00,1,11,7,12,37,50,93,2.7,0.11,1.16,0.74,1.27,3.91,5.29,9.83,4.5,50,54.5
"TROUBA, JACOB",Winnipeg,45,853:04:00,4,14,7,18,97,138,200,4.12,0.28,0.98,0.49,1.27,6.82,9.71,14.07,11.1,38.9,50
"SCHULTZ, JUSTIN",Pittsburgh,56,890:49:00,6,12,5,18,77,100,147,7.79,0.4,0.81,0.34,1.21,5.19,6.74,9.9,11.3,22.6,34
"CARLSON, JOHN",Washington,50,795:37:00,5,11,9,16,72,114,156,6.94,0.38,0.83,0.68,1.21,5.43,8.6,11.76,11.9,26.2,38.1
"LETANG, KRIS",Pittsburgh,39,711:12:00,2,12,2,14,85,110,150,2.35,0.17,1.01,0.17,1.18,7.17,9.28,12.65,6.7,40,46.7
"GREEN, MIKE",Detroit,49,917:43:00,7,11,6,18,64,89,137,10.94,0.46,0.72,0.39,1.18,4.18,5.82,8.96,21.9,34.4,56.2
"HUNWICK, MATT",Toronto,46,673:01:00,1,12,5,13,44,69,101,2.27,0.09,1.07,0.45,1.16,3.92,6.15,9,3.4,41.4,44.8
"HOLDEN, NICK",NY Rangers,57,986:24:00,5,14,6,19,43,81,134,11.63,0.3,0.85,0.36,1.16,2.62,4.93,8.15,10.2,28.6,38.8
"PARAYKO, COLTON",St. Louis,58,942:15:00,0,18,10,18,91,132,206,0,0,1.15,0.64,1.15,5.79,8.41,13.12,0,43.9,43.9
"SHATTENKIRK, KEVIN",St. Louis,58,893:14:00,4,13,7,17,69,101,158,5.8,0.27,0.87,0.47,1.14,4.63,6.78,10.61,11.4,37.1,48.6
"SEIDENBERG, DENNIS",NY Islanders,49,842:41:00,4,12,3,16,54,69,106,7.41,0.28,0.85,0.21,1.14,3.84,4.91,7.55,9.1,27.3,36.4
"PETRY, JEFF",Montreal,56,972:52:00,6,12,6,18,102,148,207,5.88,0.37,0.74,0.37,1.11,6.29,9.13,12.77,12.5,25,37.5
"NESTEROV, NIKITA",Montreal,41,598:08:00,3,8,6,11,48,62,97,6.25,0.3,0.8,0.6,1.1,4.82,6.22,9.73,13,34.8,47.8
"JONES, SETH",Columbus,51,925:18:00,7,10,5,17,88,115,165,7.95,0.45,0.65,0.32,1.1,5.71,7.46,10.7,17.9,25.6,43.6
"HAMONIC, TRAVIS",NY Islanders,35,599:21:00,2,9,5,11,48,73,106,4.17,0.2,0.9,0.5,1.1,4.81,7.31,10.61,9.5,42.9,52.4
"BARRIE, TYSON",Colorado,48,876:46:00,4,12,9,16,80,113,167,5,0.27,0.82,0.62,1.09,5.47,7.73,11.43,15.4,46.2,61.5
"CHYCHRUN, JAKOB",Arizona,43,606:38:00,3,8,4,11,46,76,112,6.52,0.3,0.79,0.4,1.09,4.55,7.52,11.08,15,40,55
"EDMUNDSON, JOEL",St. Louis,45,662:35:00,1,11,5,12,49,70,101,2.04,0.09,1,0.45,1.09,4.44,6.34,9.15,4.2,45.8,50
"BYFUGLIEN, DUSTIN",Winnipeg,60,1221:58:00,7,15,8,22,128,182,232,5.47,0.34,0.74,0.39,1.08,6.29,8.94,11.39,14.9,31.9,46.8
"MARTIN, PAUL",San Jose,58,944:35:00,3,14,1,17,33,45,81,9.09,0.19,0.89,0.06,1.08,2.1,2.86,5.15,7.3,34.1,41.5
"DEL_ZOTTO, MICHAEL",Philadelphia,31,504:47:00,4,5,2,9,43,63,92,9.3,0.48,0.59,0.24,1.07,5.11,7.49,10.94,23.5,29.4,52.9
"ORLOV, DMITRY",Washington,56,982:58:00,3,14,10,17,73,98,141,4.11,0.18,0.85,0.61,1.04,4.46,5.98,8.61,5.7,26.4,32.1
"PROVOROV, IVAN",Philadelphia,58,934:32:00,5,11,8,16,73,108,163,6.85,0.32,0.71,0.51,1.03,4.69,6.93,10.47,17.9,39.3,57.1
"SPURGEON, JARED",Minnesota,53,993:32:00,4,13,7,17,63,92,119,6.35,0.24,0.79,0.42,1.03,3.8,5.56,7.19,7.7,25,32.7
"COLE, IAN",Pittsburgh,57,940:28:00,3,13,5,16,63,112,153,4.76,0.19,0.83,0.32,1.02,4.02,7.15,9.76,6.4,27.7,34
"FRANSON, CODY",Buffalo,51,826:20:00,2,12,4,14,65,86,129,3.08,0.15,0.87,0.29,1.02,4.72,6.24,9.37,6.7,40,46.7
"OUELLET, XAVIER",Detroit,41,652:09:00,2,9,6,11,48,73,104,4.17,0.18,0.83,0.55,1.01,4.42,6.72,9.57,6.5,29,35.5
"BOYCHUK, JOHNNY",NY Islanders,52,834:53:00,3,11,7,14,86,132,192,3.49,0.22,0.79,0.5,1.01,6.18,9.49,13.8,9.1,33.3,42.4
"SUBBAN, P.K.",Nashville,40,729:45:00,4,8,5,12,74,96,131,5.41,0.33,0.66,0.41,0.99,6.08,7.89,10.77,16,32,48
"KLEFBOM, OSCAR",Edmonton,58,978:58:00,8,8,6,16,118,162,217,6.78,0.49,0.49,0.37,0.98,7.23,9.93,13.3,17.8,17.8,35.6
"RIELLY, MORGAN",Toronto,50,864:24:00,1,13,9,14,80,114,164,1.25,0.07,0.9,0.62,0.97,5.55,7.91,11.38,2.8,36.1,38.9
"PIETRANGELO, ALEX",St. Louis,57,1050:40:00,4,13,7,17,90,124,177,4.44,0.23,0.74,0.4,0.97,5.14,7.08,10.11,9.1,29.5,38.6
"BRODIN, JONAS",Minnesota,43,679:54:00,1,10,4,11,44,67,91,2.27,0.09,0.88,0.35,0.97,3.88,5.91,8.03,4.2,41.7,45.8
"KRUG, TOREY",Boston,58,990:38:00,2,14,7,16,104,149,235,1.92,0.12,0.85,0.42,0.97,6.3,9.02,14.23,6.9,48.3,55.2
"SAVARD, DAVID",Columbus,49,875:25:00,2,12,5,14,69,111,142,2.9,0.14,0.82,0.34,0.96,4.73,7.61,9.73,4.9,29.3,34.1
"SCHMIDT, NATE",Washington,49,698:52:00,1,10,3,11,49,78,119,2.04,0.09,0.86,0.26,0.94,4.21,6.7,10.22,2.9,29.4,32.4
"WIERCIOCH, PATRICK",Colorado,47,647:24:00,3,7,3,10,46,63,94,6.52,0.28,0.65,0.28,0.93,4.26,5.84,8.71,17.6,41.2,58.8
"MOORE, JOHN",New Jersey,40,586:13:00,4,5,3,9,46,68,99,8.7,0.41,0.51,0.31,0.92,4.71,6.96,10.13,20,25,45
